date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:42:09	26516/-1	---M--	200	added ('OK')	image/svg+xml	etag:%22/icons/SOP/muscledeform.svg.2017-10-21%2005:54:40%22	http://127.0.0.1:48626/icons/SOP/muscledeform.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/SOP/muscledeform.svg	(from http://127.0.0.1:48626/nodes/obj/riggedmuscle.html)
12:42:09	1276/1276	---M--	404	error ('NOT%20FOUND')	text/html	date:Tue,%2022%20Jan%202019%2011:42:09%20GMT	http://127.0.0.1:48626/icons/SOP/solidconform.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/SOP/solidconform.ac.delayed	(from http://127.0.0.1:48626/nodes/obj/riggedmuscle.html)
12:42:14	27441/-1	---M--	200	added ('OK')	image/svg+xml	etag:%22/icons/CHOP/jiggle.svg.2017-10-21%2005:54:50%22	http://127.0.0.1:48626/icons/CHOP/jiggle.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/CHOP/jiggle.svg	(from http://127.0.0.1:48626/nodes/obj/riggedmuscle.html)
12:42:17	39144/-1	---M--	200	added ('OK')	image/svg+xml	etag:%22/icons/SHELF/muscle_attach.svg.2017-10-21%2005:54:56%22	http://127.0.0.1:48626/icons/SHELF/muscle_attach.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/SHELF/muscle_attach.svg	(from http://127.0.0.1:48626/nodes/obj/musclerig.html)
12:42:17	740/-1	---M--	200	added ('OK')	image/x-png	etag:%22/images/shelf/null.png.2017-10-21%2005:50:38%22	http://127.0.0.1:48626/images/shelf/null.png	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/images/shelf/null.png	(from http://127.0.0.1:48626/nodes/obj/null.html)
12:42:19	1272/1272	---M--	404	error ('NOT%20FOUND')	text/html	date:Tue,%2022%20Jan%202019%2011:42:19%20GMT	http://127.0.0.1:48626/icons/MISC/python2.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/MISC/python2.b0.delayed	(from http://127.0.0.1:48626/icons/MISC/python.svg)
12:42:24	9998/-1	---M--	200	added ('OK')	image/svg+xml	etag:%22/icons/SOP/deform.svg.2017-10-21%2005:54:40%22	http://127.0.0.1:48626/icons/SOP/deform.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/SOP/deform.svg	(from http://127.0.0.1:48626/nodes/obj/simplefemale.html)
12:42:30	11654/-1	---M--	200	added ('OK')	image/svg+xml	etag:%22/icons/SOP/deltamush.svg.2017-10-21%2005:54:40%22	http://127.0.0.1:48626/icons/SOP/deltamush.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/SOP/deltamush.svg	(from http://127.0.0.1:48626/nodes/obj/simplefemale.html)
12:42:35	12316/-1	---M--	200	added ('OK')	image/svg+xml	etag:%22/icons/COP2/file.svg.2017-10-21%2005:55:00%22	http://127.0.0.1:48626/icons/COP2/file.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/COP2/file.svg	(from http://127.0.0.1:48626/nodes/obj/stereocamrig.html)
12:42:35	48341/-1	---M--	200	added ('OK')	image/svg+xml	etag:%22/icons/VIEW/display_lock_camera.svg.2017-10-21%2005:54:48%22	http://127.0.0.1:48626/icons/VIEW/display_lock_camera.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/VIEW/display_lock_camera.svg	(from http://127.0.0.1:48626/nodes/obj/stereocamrig.html)
12:42:38	13338/-1	---M--	200	added ('OK')	image/svg+xml	etag:%22/icons/COP2/anaglyph.svg.2017-10-21%2005:55:00%22	http://127.0.0.1:48626/icons/COP2/anaglyph.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/COP2/anaglyph.svg	(from http://127.0.0.1:48626/nodes/obj/stereocamrig.html)
12:42:38	194727/-1	---M--	200	added ('OK')	image/svg+xml	etag:%22/icons/MISC/generic.svg.2017-10-21%2005:54:52%22	http://127.0.0.1:48626/icons/MISC/generic.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/MISC/generic.svg	(from http://127.0.0.1:48626/nodes/obj/simplefemale.html)
12:42:40	15117/-1	---M--	200	added ('OK')	image/x-png	etag:%22/images/shelf/stereocaminteraxial.png.2017-10-21%2005:50:36%22	http://127.0.0.1:48626/images/shelf/stereocaminteraxial.png	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/images/shelf/stereocaminteraxial.png	(from http://127.0.0.1:48626/nodes/obj/stereocamrig.html)
